fish_key,fish_label,year,month,qty,amt,price
やりいか,やりいか,2005,2,575777.4299999999,581181723,1009.3860799649616
わかめ,わかめ,2005,2,16563.4,4749640,286.75513481531567
わかめ乾,ﾜｶﾒ(乾),2005,2,179.14999999999998,305000,1702.4839519955347
加能がにずわいがに雄,加能ｶﾞﾆ（ｽﾞﾜｲｶﾞﾆ雄）,2005,2,229181.85,749875608,3271.967688540781
貝類,貝類,2005,2,12509.6,18348110,1466.7223572296475
香箱がにずわいがに雌,香箱ｶﾞﾆ（ｽﾞﾜｲｶﾞﾆ雌）,2005,2,0.0,0,
あいなめ,ｱｲﾅﾒ,2005,3,17351.4,22874544,1318.3111449220235
あおりいか,あおりいか,2005,3,0.0,0,
あかあまだい,ｱｶｱﾏﾀﾞｲ,2005,3,10840.76,22300908,2057.1351086086215
あかかます,ｱｶｶﾏｽ,2005,3,83818.73,43093317,514.1251484006021
あかがれい,ｱｶｶﾞﾚｲ,2005,3,3107906.34,1752703524,563.9499174868957
あからばちめはつめ,ｱｶﾗﾊﾞﾁﾒ(ﾊﾂﾒ),2005,3,10057.5,7168200,712.7218493661446
あまえびほっこくあかえび,ｱﾏｴﾋﾞ(ﾎｯｺｸｱｶｴﾋﾞ),2005,3,523024.8,1004099552,1919.793386470393
あわび類,ｱﾜﾋﾞ類,2005,3,3872.2,12943522,3342.6790971540727
あんこう,あんこう,2005,3,675805.41,306550440,453.60755546481937
いいだこ,ｲｲﾀﾞｺ,2005,3,20941.8,27701245,1322.7728753020276
いか類,ｲｶ類,2005,3,170496.4,85246636,499.99082678578554
いしだい,ｲｼﾀﾞｲ,2005,3,11310.72,17633312,1558.9911163922368
いわがき,ｲﾜｶﾞｷ,2005,3,31.4,31400,1000.0
うに類,ｳﾆ類,2005,3,229.68,379500,1652.2988505747126
うまづらはぎ,ｳﾏﾂﾞﾗﾊｷﾞ,2005,3,788721.45,412438818,522.9207573852594
うみたなご,ｳﾐﾀﾅｺﾞ,2005,3,2980.9500000000003,2370990,795.3806672369545
うるめいわし,うるめいわし,2005,3,4086341.73,1065221685,260.67856175112405
えい類,ｴｲ類,2005,3,108339.3,36994260,341.46666998956056
えぞぼらもとき,ｴｿﾞﾎﾞﾗﾓﾄｷ,2005,3,32698.800000000003,27998328,856.2494036478403
えっちゅうばい,ｴｯﾁｭｳﾊﾞｲ,2005,3,67370.4,44488143,660.3514748316769
えび類,ｴﾋﾞ類,2005,3,6692.53,7279181,1087.6575824090442
おきなまこ,ｵｷﾅﾏｺ,2005,3,306.0,61200,200.0
かいそう海藻,ｶｲｿｳ(海藻),2005,3,58247.28,37674360,646.8003312772717
かさご,ｶｻｺﾞ,2005,3,15548.4,17951094,1154.5299837925445
かじき類,ｶｼﾞｷ類,2005,3,0.0,0,
かたくちいわし,かたくちいわし,2005,3,1292370.4,65305728,50.531742293076356
かつお,かつお,2005,3,0.0,0,
かながしら,かながしら,2005,3,66788.64,11849208,177.41352421609423
かに類,ｶﾆ類,2005,3,85430.7,88004529,1030.127682437344
がざみ,ｶﾞｻﾞﾐ,2005,3,23413.6,14769440,630.8060272662043
がすえびとげざこえび,ｶﾞｽｴﾋﾞ(ﾄｹﾞｻﾞｺｴﾋﾞ),2005,3,51967.8,63030996,1212.8855945412352
がんどぶり,ｶﾞﾝﾄﾞ(ﾌﾞﾘ),2005,3,369473.5,272419847,737.319041825733
きだい,ｷﾀﾞｲ,2005,3,53619.3,47556201,886.9231974307758
ぎょるい魚類,ｷﾞｮﾙｲ(魚類),2005,3,3237223.1799999997,772818962,238.7289720321353
くじら類,ｸｼﾞﾗ類,2005,3,0.0,0,
くるまえび,ｸﾙﾏｴﾋﾞ,2005,3,2823.2400000000002,2987670,1058.2415947634631
くろだい,ｸﾛﾀﾞｲ,2005,3,38970.8,65142640,1671.5756412493456
くろまぐろ,ｸﾛﾏｸﾞﾛ,2005,3,0.0,0,
けんさきいか,ｹﾝｻｷｲｶ,2005,3,11398.32,12763440,1119.765018002653
こぞくらぶり,ｺｿﾞｸﾗ(ﾌﾞﾘ),2005,3,21.0,6300,300.0
こたまがい,ｺﾀﾏｶﾞｲ,2005,3,0.0,0,
このしろ,ｺﾉｼﾛ,2005,3,389070.0,4611384,11.85232477446218
こぶだい,ｺﾌﾞﾀﾞｲ,2005,3,1713.6000000000001,1587132,926.1974789915965
ごまさば,ｺﾞﾏｻﾊﾞ,2005,3,1750.0,311500,178.0
さくらます,ｻｸﾗﾏｽ,2005,3,28195.25,73741722,2615.395217279506
さけ,さけ,2005,3,0.0,0,
さざえ,ｻｻﾞｴ,2005,3,101998.5,70744200,693.580787952764
さめ類,ｻﾒ類,2005,3,50624.840000000004,1758557,34.73703818125647
さより,さより,2005,3,558101.04,600504282,1075.9777154330334
さわら,さわら,2005,3,1492793.75,1389848320,931.0384103631195
しいら,しいら,2005,3,0.0,0,
しびこくろまぐろ,ｼﾋﾞｺ(ｸﾛﾏｸﾞﾛ),2005,3,128.0,219880,1717.8125
しまえびもろとげあかえび,ｼﾏｴﾋﾞ(ﾓﾛﾄｹﾞｱｶｴﾋﾞ),2005,3,15228.640000000001,34599019,2271.9703794954767
しろがすくろざこえび,ｼﾛｶﾞｽ(ｸﾛｻﾞｺｴﾋﾞ),2005,3,3378.8999999999996,7230600,2139.927195241055
しろぎす,ｼﾛｷﾞｽ,2005,3,8106.5,11776621,1452.738049713193
しわかくろまぐろ,ｼﾜｶ(ｸﾛﾏｸﾞﾛ),2005,3,440.7,1387440,3148.2641252552758
すけとうだら,ｽｹﾄｳﾀﾞﾗ,2005,3,8275.2,1540160,186.11755607115234
すずき,すずき,2005,3,378503.34,226553072,598.549730102778
するめいか,するめいか,2005,3,5624210.52,1522990980,270.7919581929163
そうはち,ｿｳﾊﾁ,2005,3,514340.0,303538540,590.1515340047439
そでいか,ｿﾃﾞｲｶ,2005,3,0.0,0,
その他,その他,2005,3,248371.44,62955672,253.47387767289186
その他のかれい科,その他のｶﾚｲ科,2005,3,449380.14,116679189,259.6447386393177
その他ふぐ類,その他ﾌｸﾞ類,2005,3,421463.3,178155222,422.7063708749967
たこ類,ﾀｺ類,2005,3,11097.0,10913850,983.4955393349554
たちうお,たちうお,2005,3,20838.3,8231895,395.03678323087775
ちかめきんとき,ﾁｶﾒｷﾝﾄｷ,2005,3,1203.36,932903,775.2484709480123
ちだい,ﾁﾀﾞｲ,2005,3,19472.0,13782688,707.8208709942481
ちょうせんはまぐり,ﾁｮｳｾﾝﾊﾏｸﾞﾘ,2005,3,0.0,0,
