category,fish_key,fish_label,latest_year,latest_price,yoy_price,latest_qty,latest_amt,rank_amt
鮮魚,あおりいか,あおりいか,2024,2099.2663869537682,,25264,53035866,60
鮮魚,めじ,めじ,2024,1316.3102295296276,-0.09261693123754233,39777,52358872,61
鮮魚,たちうお,たちうお,2024,1867.3298222753103,0.033365669007227705,27627,51588721,62
鮮魚,ひらまさ,ひらまさ,2024,680.200618503565,-0.2546991993663795,58205,39591077,63
鮮魚,白皮かじき,白皮かじき,2024,1244.158188445534,-0.1457060261086287,31001,38570148,64
鮮魚,なまこ,なまこ,2024,2152.9249865406473,-0.17132374445343646,16717,35990447,65
鮮魚,ほうぼう,ほうぼう,2024,1196.0858120374248,0.007371839914661837,28644,34260682,66
鮮魚,かんぱち,かんぱち,2024,1274.1070609630742,0.13645936150142113,25294,32227264,67
鮮魚,どじょう,どじょう,2024,2871.978597449909,-0.024332804688779186,10980,31534325,68
鮮魚,すけそうだら,すけそうだら,2024,351.4342595202421,-0.05110340671988489,67409,23689832,69
鮮魚,あんこう,あんこう,2024,817.5108730019322,0.17796884924146705,28465,23270447,70
鮮魚,さより,さより,2024,2213.0523292249845,0.10538950864689922,9574,21187763,71
鮮魚,ます,ます,2024,1318.9245765641203,-0.2142674632700291,14465,19078244,72
鮮魚,つばす,つばす,2024,390.0077939751335,0.4744965023050711,48499,18914988,73
鮮魚,とびうお,とびうお,2024,321.06026327136226,-0.06969040859556119,39427,12658443,74
鮮魚,ぼら,ぼら,2024,2925.2474347014927,-0.5655710176292563,4288,12543461,75
鮮魚,このわた,このわた,2024,32524.99411764706,-0.0016715454639033567,340,11058498,76
鮮魚,かいみぬき,かいみぬき,2024,3722.571203776554,0.27110970702893056,2542,9462776,77
鮮魚,にしん,にしん,2024,383.66901377066716,-0.10395856350813881,22439,8609149,78
鮮魚,わかさぎ,わかさぎ,2024,1257.1166289226787,0.08119204500219834,6182,7771495,79
鮮魚,きす,きす,2024,2752.7827287066248,-0.06829802478075386,2536,6981057,80
鮮魚,うるめいわし,うるめいわし,2024,367.8522658348497,0.35234078607567776,11541,4245383,81
鮮魚,その他淡水魚,その他淡水魚,2024,1673.0572082379863,0.3593412383881689,1748,2924504,82
鮮魚,生くじら,生くじら,2024,3009.1577319587627,-0.04588860073923118,970,2918883,83
鮮魚,しいら,しいら,2024,198.04222420457924,0.021155555592988096,13452,2664064,84
鮮魚,しらうお,しらうお,2024,4262.700610997963,0.6252596883166257,491,2092986,85
鮮魚,かながしら,かながしら,2024,239.25751879699249,0.36184178679562984,2128,509140,86
鮮魚,さめ,さめ,2024,618.2385057471264,0.013275800375911029,348,215147,87
鮮魚,かたくちいわし,かたくちいわし,2024,149.3804347826087,0.38315217391304346,184,27486,88
塩干,その他塩干加工品,その他塩干加工品,2024,1063.4747479622329,-0.1124187207730476,1781975,1895085414,1
塩干,塩さけ,塩さけ,2024,1444.4068865963507,0.05909204338997487,779340,1125684063,2
塩干,いくら,いくら,2024,7697.31025440537,0.0019233459386900353,104872,807232321,3
塩干,すけこ,すけこ,2024,1974.111391543741,-0.00915965714999245,288047,568636864,4
