year,fish_key,fish_label,top_amt_origin_pref,top_amt_amt,top_amt_qty,top_amt_price,top_qty_origin_pref,top_qty_qty,top_qty_amt,top_qty_price
2000,その他かに,その他かに,北海道,465117709,372508,1248.6113291526624,北海道,372508,465117709,1248.6113291526624
2000,その他冷凍魚,その他　冷凍魚,石川県,328170566,2034075,161.33651217383823,石川県,2034075,328170566,161.33651217383823
2000,その他塩干加工品,その他塩干加工品,兵庫県,204274561,202508,1008.7234133960139,石川県,235798,160276166,679.7180892119526
2000,その他桜干,その他桜干,山口県,93383914,184252,506.8271389184378,山口県,184252,93383914,506.8271389184378
2000,その他淡水魚,その他淡水魚,鹿児島県,33704203,9411,3581.36255445755,宮崎県,9708,3340177,344.06437989287184
2000,その他魚介漬物,その他魚介漬物,宮城県,49979176,86895,575.1674549743943,宮城県,86895,49979176,575.1674549743943
2000,その他鮮魚,その他鮮魚,長崎県,122940521,53698,2289.4804461991134,石川県,98304,100558404,1022.9329833984375
2000,たい,たい,石川県,414447082,401508,1032.2262121800811,石川県,401508,414447082,1032.2262121800811
2000,たいはくちりめん,たいはくちりめん,茨城県,47544138,35876,1325.2351990188426,茨城県,35876,47544138,1325.2351990188426
2000,たこ,たこ,茨城県,91198003,121081,753.1982970077881,茨城県,121081,91198003,753.1982970077881
2000,たちうお,たちうお,静岡県,36331158,52109,697.2146462223417,静岡県,52109,36331158,697.2146462223417
2000,たづくり,たづくり,富山県,13061748,12560,1039.9480891719745,富山県,12560,13061748,1039.9480891719745
2000,ちくわ,ちくわ,石川県,116618122,164350,709.5717797383633,石川県,164350,116618122,709.5717797383633
2000,つばす,つばす,高知県,21533597,60486,356.0096055285521,神奈川県,92020,20676694,224.6978265594436
2000,とびうお,とびうお,三重県,22173423,62090,357.1174585279433,福井県,66721,11742194,175.9894785749614
2000,どじょう,どじょう,千葉県,24559984,19464,1261.815865187012,千葉県,19464,24559984,1261.815865187012
2000,なまこ,なまこ,石川県,37604785,27607,1362.1467381461223,石川県,27607,37604785,1362.1467381461223
2000,にぎす,にぎす,石川県,75792388,213358,355.2357446170287,石川県,213358,75792388,355.2357446170287
2000,にしん,にしん,宮城県,3264293,17302,188.66564559010519,宮城県,17302,3264293,188.66564559010519
2000,ぬか漬いわし,ぬか漬いわし,石川県,100800,60,1680.0,石川県,60,100800,1680.0
2000,ぬか漬にしん,ぬか漬にしん,北海道,187165,234,799.8504273504274,北海道,234,187165,799.8504273504274
2000,ぬか漬ふぐ,ぬか漬ふぐ,石川県,163905,22,7450.227272727273,石川県,22,163905,7450.227272727273
2000,はたはた,はたはた,石川県,50262348,76730,655.0547113254269,兵庫県,87573,47165612,538.5862309159215
2000,はまぐり,はまぐり,三重県,244553241,536692,455.6677591616793,三重県,536692,244553241,455.6677591616793
2000,はまち,はまち,石川県,359144161,996269,360.48914600373996,石川県,996269,359144161,360.48914600373996
2000,はむそーせーじ,ハムソーセージ,新潟県,6706035,9602,698.3998125390543,新潟県,9602,6706035,698.3998125390543
2000,ばいがい,ばいがい,鳥取県,291349170,380846,765.0051989518073,鳥取県,380846,291349170,765.0051989518073
2000,ひらまさ,ひらまさ,長崎県,59015862,62900,938.2489984101749,長崎県,62900,59015862,938.2489984101749
2000,ひらめ,ひらめ,愛媛県,161349612,57600,2801.208541666667,青森県,78214,132336304,1691.9771907842585
2000,ふぐ,ふぐ,石川県,38883469,89897,432.5335550685785,石川県,89897,38883469,432.5335550685785
2000,ぶり,ぶり,新潟県,150567683,72854,2066.7044088176353,石川県,87186,132672697,1521.720195903012
2000,べにずわいがに,べにずわいがに,北海道,36730050,125843,291.87201512996353,北海道,125843,36730050,291.87201512996353
