fish_key,fish_label,year,origin_pref,qty,amt,price,rank_in_fish_year
ずわいがに,ずわいがに,2000,富山県,2822,3571733,1265.6743444365698,8
ずわいがに,ずわいがに,2000,千葉県,4829,2800629,579.9604472975772,9
ずわいがに,ずわいがに,2000,愛知県,2110,2744648,1300.7810426540284,10
その他あじ,その他あじ,2000,三重県,14415,23205730,1609.8321193201525,1
その他あじ,その他あじ,2000,愛媛県,10749,18336922,1705.918876174528,2
その他あじ,その他あじ,2000,鹿児島県,11131,16070004,1443.7161081663821,3
その他あじ,その他あじ,2000,大阪府,3315,5574978,1681.7429864253393,4
その他あじ,その他あじ,2000,兵庫県,16020,3282825,204.92041198501872,5
その他あじ,その他あじ,2000,神奈川県,1661,3255796,1960.1420830824804,6
その他あじ,その他あじ,2000,石川県,4023,1858798,462.04275416355955,7
その他あじ,その他あじ,2000,福井県,2225,1264737,568.4211235955056,8
その他あじ,その他あじ,2000,静岡県,2569,903473,351.6827559361619,9
その他あじ,その他あじ,2000,和歌山県,7019,650622,92.6944009118108,10
その他いか,その他いか,2000,石川県,225840,194742889,862.3046803046404,1
その他いか,その他いか,2000,長崎県,111952,191988441,1714.9174735600973,2
その他いか,その他いか,2000,福岡県,79577,132916765,1670.2912273646907,3
その他いか,その他いか,2000,山口県,81881,104337870,1274.2622830693324,4
その他いか,その他いか,2000,福井県,94933,65666776,691.7170636132852,5
その他いか,その他いか,2000,青森県,61163,65615235,1072.7929467161518,6
その他いか,その他いか,2000,富山県,82483,63074309,764.6946522313689,7
その他いか,その他いか,2000,兵庫県,94859,62287789,656.6355221961015,8
その他いか,その他いか,2000,鳥取県,60801,44909030,738.6232134339896,9
その他いか,その他いか,2000,島根県,45655,43300552,948.4295695980725,10
その他えび,その他えび,2000,愛知県,44367,85025883,1916.4217323686523,1
その他えび,その他えび,2000,鹿児島県,11668,68117546,5837.979602331162,2
その他えび,その他えび,2000,富山県,28056,54453941,1940.9018035357856,3
その他えび,その他えび,2000,石川県,50272,51116860,1016.8057765754297,4
その他えび,その他えび,2000,兵庫県,10564,39648515,3753.1725672093903,5
その他えび,その他えび,2000,沖縄県,7964,38808840,4873.033651431441,6
その他えび,その他えび,2000,東京都,11976,33823048,2824.2358049432196,7
その他えび,その他えび,2000,北海道,7668,20084846,2619.3069900886803,8
その他えび,その他えび,2000,鳥取県,9585,18550503,1935.3680751173708,9
その他えび,その他えび,2000,福岡県,2991,15043140,5029.468405215647,10
その他かい,その他かい,2000,宮城県,213611,141419916,662.0441643922832,1
その他かい,その他かい,2000,北海道,168019,130786977,778.4058767163237,2
その他かい,その他かい,2000,石川県,142211,110208709,774.9661348278263,3
その他かい,その他かい,2000,山口県,80416,96313580,1197.691752884998,4
その他かい,その他かい,2000,福井県,62860,94922992,1510.069869551384,5
その他かい,その他かい,2000,三重県,75765,90864723,1199.296812512374,6
