fish_key,fish_label,year,category,qty,amt,price
ぬか漬にしん,ぬか漬にしん,2002,塩干,229,149732,653.8515283842795
ぬか漬ふぐ,ぬか漬ふぐ,2002,塩干,298,546840,1835.03355704698
はたはた,はたはた,2002,鮮魚,540025,264091046,489.034852090181
はまぐり,はまぐり,2002,鮮魚,680124,313665542,461.18875675612094
はまち,はまち,2002,鮮魚,2055805,820945564,399.33046373561695
はむそーせーじ,ハムソーセージ,2002,塩干,7278,7156586,983.3176696894751
ばいがい,ばいがい,2002,鮮魚,616162,500466941,812.2327261337116
ひらまさ,ひらまさ,2002,鮮魚,416025,290113283,697.3457917192476
ひらめ,ひらめ,2002,鮮魚,397002,897157127,2259.8302451876816
ふぐ,ふぐ,2002,鮮魚,255681,229209352,896.4661120693364
ぶり,ぶり,2002,鮮魚,692239,742529743,1072.649392767527
べにずわいがに,べにずわいがに,2002,鮮魚,180293,66677145,369.82658783202896
ほうぼう,ほうぼう,2002,鮮魚,29501,12660570,429.15731670112876
ぼうたら,ぼうたら,2002,塩干,13777,58601940,4253.606735864121
ぼら,ぼら,2002,鮮魚,25995,4950376,190.43569917291788
まあじ,まあじ,2002,鮮魚,1739968,977063276,561.5409455806084
まいわし,まいわし,2002,鮮魚,998926,498010980,498.54641885384905
まかじき,まかじき,2002,鮮魚,610580,706968057,1157.8631088473255
まぐろ,まぐろ,2002,鮮魚,572524,1604873625,2803.1551952407235
まこ,まこ,2002,鮮魚,190828,283923919,1487.852511161884
ます,ます,2002,鮮魚,35950,31123505,865.7442280945758
まだら,まだら,2002,鮮魚,1525317,998301398,654.4878199089108
みそ漬品,みそ漬品,2002,塩干,101626,67174905,661.0011709601873
めじ,めじ,2002,鮮魚,246133,221347670,899.3010689342753
もずく,もずく,2002,鮮魚,497008,185385519,373.0030884814731
やなぎばちめ,やなぎばちめ,2002,鮮魚,144887,205518217,1418.4724440425987
わかさぎ,わかさぎ,2002,鮮魚,63381,36691535,578.9043246398763
わかめ,わかめ,2002,塩干,137092,52102418,380.05440142386135
わらさ,わらさ,2002,鮮魚,1010791,527591846,521.9593823055409
丸干あじ,丸干あじ,2002,塩干,5561,2815624,506.31613019241144
丸干いか,丸干いか,2002,塩干,80109,79104683,987.463119000362
丸干いわし,丸干いわし,2002,塩干,319359,188001943,588.6852820806679
冷凍あかうお,冷凍あかうお,2002,冷凍魚,1117640,384697329,344.2050472424036
冷凍あじ,冷凍あじ,2002,冷凍魚,1194542,147742558,123.68134230525172
冷凍うなぎ,冷凍うなぎ,2002,冷凍魚,375312,523132965,1393.8615471927355
冷凍えび,冷凍えび,2002,冷凍魚,3174048,3973517901,1251.8770670764904
冷凍おひょう,冷凍おひょう,2002,冷凍魚,24831,27747897,1117.469977044823
冷凍かい,冷凍かい,2002,冷凍魚,1617644,919824718,568.61999179053
冷凍かじき,冷凍かじき,2002,冷凍魚,1474268,944411143,640.5966506768104
冷凍かに,冷凍かに,2002,冷凍魚,3303209,4519220386,1368.1303199403974
冷凍かれい,冷凍かれい,2002,冷凍魚,1968313,769625505,391.00768272119325
冷凍ぎんだら,冷凍ぎんだら,2002,冷凍魚,281920,358560314,1271.8512840522135
冷凍くじら,冷凍くじら,2002,冷凍魚,2886,8458932,2931.022869022869
冷凍さけ,冷凍さけ,2002,冷凍魚,1871131,1017350387,543.7087980478117
冷凍さば,冷凍さば,2002,冷凍魚,2035548,486806113,239.1523624105155
冷凍さんま,冷凍さんま,2002,冷凍魚,66362,18343018,276.40845664687623
冷凍しらうお,冷凍しらうお,2002,冷凍魚,11560,11491243,994.0521626297577
冷凍すりみ,冷凍すりみ,2002,冷凍魚,1841694,565304333,306.94802339585186
冷凍するめいか,冷凍するめいか,2002,冷凍魚,1470489,468456717,318.5720648029329
冷凍たい,冷凍たい,2002,冷凍魚,308818,166166539,538.0727127304756
冷凍たこ,冷凍たこ,2002,冷凍魚,339242,247948687,730.8902995501736
冷凍たら,冷凍たら,2002,冷凍魚,719075,362497706,504.11668602023434
冷凍にしん,冷凍にしん,2002,冷凍魚,60949,14118388,231.64265205335607
冷凍ほっけ,冷凍ほっけ,2002,冷凍魚,223864,72705881,324.77701193581817
冷凍まぐろ,冷凍まぐろ,2002,冷凍魚,292802,711949671,2431.5054917657667
冷凍めるるーさ,冷凍メルルーサ,2002,冷凍魚,138942,74373136,535.2818874062558
冷凍めろー,冷凍メロー,2002,冷凍魚,508077,687765032,1353.662992026799
冷凍もんこういか,冷凍もんこういか,2002,冷凍魚,43764,36770616,840.2023581025501
冷凍やりいか,冷凍やりいか,2002,冷凍魚,609447,664677393,1090.6237835283462
冷凍食品その他,冷凍食品　その他,2002,冷凍魚,373451,422476064,1131.2757604076571
冷凍食品ふらい,冷凍食品　フライ,2002,冷凍魚,35590,31399549,882.2576285473448
冷凍食品切身,冷凍食品　切身,2002,冷凍魚,263450,489053373,1856.3422774720061
冷凍食品開き,冷凍食品　開き,2002,冷凍魚,93187,62812219,674.0448667732624
塩かずのこ,塩かずのこ,2002,塩干,200671,590918869,2944.714826756233
塩かれい,塩かれい,2002,塩干,713038,457114854,641.0806352536611
塩くじら,塩くじら,2002,塩干,885,1930654,2181.529943502825
塩くらげ,塩くらげ,2002,塩干,11586,7745292,668.504401864319
塩さけ,塩さけ,2002,塩干,1707626,984766754,576.687608410741
塩さば,塩さば,2002,塩干,1008149,482596604,478.69571263771525
塩するめ,塩するめ,2002,塩干,53672,45348679,844.922473543002
塩だら,塩だら,2002,塩干,28735,14447331,502.77817991995823
塩ます,塩ます,2002,塩干,459976,179501603,390.2412364992956
塩まだらこ,塩まだらこ,2002,塩干,966,1891260,1957.8260869565217
干するめ,干するめ,2002,塩干,115006,114618215,996.6281324452638
干はたはた,干はたはた,2002,塩干,190902,189506858,992.6918418874606
干ふぐ,干ふぐ,2002,塩干,220799,173191731,784.3863921485151
干ぶり,干ぶり,2002,塩干,4787,592338,123.73887612283268
桜干いわし,桜干いわし,2002,塩干,29917,26897512,899.0711635524952
桜干にしん,桜干にしん,2002,塩干,5022,3162053,629.6401831939467
煮干いかなご,煮干いかなご,2002,塩干,34988,32054785,916.1651137532868
煮干いわし,煮干いわし,2002,塩干,35468,38349793,1081.250507499718
生くじら,生くじら,2002,鮮魚,4105,11759697,2864.7252131546893
白皮かじき,白皮かじき,2002,鮮魚,174924,198606938,1135.389872173058
皮くじら,皮くじら,2002,塩干,5469,11899453,2175.8005119765953
身欠にしん,身欠にしん,2002,塩干,554384,348442566,628.5220460907963
開きあじ,開きあじ,2002,塩干,457218,239543919,523.9162040864533
開きさば,開きさば,2002,塩干,16302,14096832,864.7302171512698
開きたら,開きたら,2002,塩干,37664,34292908,910.4956457094307
養殖たい,養殖たい,2002,鮮魚,303748,339155977,1116.5702391456075
養殖はまち,養殖はまち,2002,鮮魚,9947,4271966,429.4728058711169
養殖ぶり,養殖ぶり,2002,鮮魚,3776472,2978257537,788.6348785321327
養殖わらさ,養殖わらさ,2002,鮮魚,9210,4949846,537.442562432139
魚介つくだに,魚介つくだに,2002,塩干,131236,77149059,587.8650598921027
黒皮かじき,黒皮かじき,2002,鮮魚,181336,127553144,703.4077292980985
あからばちめ,あからばちめ,2003,鮮魚,557600,323131115,579.5034343615495
あさり,あさり,2003,鮮魚,844268,321238164,380.4931182989288
あなご,あなご,2003,鮮魚,111210,97666994,878.2213290171748
あまえび,あまえび,2003,鮮魚,633888,1236702690,1950.9798103134938
あゆ,あゆ,2003,鮮魚,199598,291399644,1459.9326846962394
あら,あら,2003,鮮魚,53013,124045531,2339.9077773376343
あわび,あわび,2003,鮮魚,83179,579431839,6966.083254186754
あんこう,あんこう,2003,鮮魚,201147,143767588,714.738912337743
いくら,いくら,2003,塩干,256196,856964340,3344.955971209543
うなぎ,うなぎ,2003,鮮魚,287857,381910426,1326.73662964597
うに,うに,2003,鮮魚,92102,780702502,8476.49890338972
うに製品,うに製品,2003,塩干,40319,41493077,1029.1196954289542
うるめいわし,うるめいわし,2003,鮮魚,44175,8637469,195.52844368986985
かいみぬき,かいみぬき,2003,鮮魚,23890,53653689,2245.8639179573042
かき,かき,2003,鮮魚,922395,450580624,488.4898812330943
かす漬たら,かす漬たら,2003,塩干,25458,10712638,420.7965276141095
かす漬ふぐ,かす漬ふぐ,2003,塩干,549,892869,1626.3551912568305
かたくちいわし,かたくちいわし,2003,鮮魚,134440,19890208,147.94858673013985
かつお,かつお,2003,鮮魚,274269,134919538,491.92412558473615
かながしら,かながしら,2003,鮮魚,29735,7241964,243.55015974440894
