fish_key,fish_label,year,qty,amt,price,yoy_price,yoy_qty
あおりいか,あおりいか,2024,25264,53035866,2099.2663869537682,,
あかいか,あかいか,2005,567453,696548596,1227.5000678470287,,
あかいか,あかいか,2006,415031,551846622,1329.6515730150277,0.08321914421330123,-0.2686072679146996
あかいか,あかいか,2007,461934,621921091,1346.3418821736439,0.01255239304592437,0.11301083533519174
あかいか,あかいか,2008,433561,584176380,1347.3914397282044,0.0007795624339235196,-0.061422194512635975
あかいか,あかいか,2009,381731,483406228,1266.3530810963741,-0.06014462927579334,-0.11954488526412665
あかいか,あかいか,2010,475415,510264749,1073.303848216821,-0.15244502955875172,0.24541889445709142
あかいか,あかいか,2011,566942,570021597,1005.431943655612,-0.06323643083360864,0.19252021917692952
あかいか,あかいか,2012,404538,462078824,1142.2383657406722,0.1360673121122955,-0.28645611014883354
あかいか,あかいか,2013,373287,444426484,1190.5758411088518,0.0423182032909879,-0.07725108642451384
あかいか,あかいか,2014,273238,409193270,1497.570872279844,0.25785424209941143,-0.268021656259125
あかいか,あかいか,2015,398946,543153958,1361.4723747073538,-0.09087950366268749,0.460067779737811
あかいか,あかいか,2016,339992,452758405,1331.6737011459093,-0.02188709379274012,-0.1477743855058078
あかいか,あかいか,2017,283151,402255892,1420.6409018509557,0.0668085587546634,-0.16718334549048208
あかいか,あかいか,2018,239398,382029414,1595.7920032748812,0.12329020035655791,-0.1545217922592539
あかいか,あかいか,2019,147586,251773550,1705.9446695486022,0.06902695717716711,-0.38351197587281427
あかいか,あかいか,2020,114787,190836660,1662.528509325969,-0.02544992284780323,-0.22223652649980352
あかいか,あかいか,2021,175422,242449979,1382.0956265462712,-0.16867854067260013,0.5282392605434414
あかいか,あかいか,2022,149351,310394191,2078.2866602834933,0.5037213202656166,-0.1486187593346331
あかいか,あかいか,2023,160115,323829634,2022.4815538831465,-0.026851496218878057,0.0720718307878756
あかいか,あかいか,2024,176030,379612949,2156.5241663352836,0.06627630901986548,0.09939730818474213
あからばちめ,あからばちめ,2000,479194,272798758,569.2866730384771,,
あからばちめ,あからばちめ,2001,615039,360291725,585.8030547656327,0.02901241590463033,0.28348643764320913
あからばちめ,あからばちめ,2002,585860,357340774,609.9422626566073,0.041207036553662535,-0.04744251990524173
あからばちめ,あからばちめ,2003,557600,323131115,579.5034343615495,-0.04990444204092592,-0.04823678011811694
あからばちめ,あからばちめ,2004,500385,268037595,535.6627296981325,-0.075652191279448,-0.10260939741750363
あからばちめ,あからばちめ,2005,428702,240740911,561.5577044193869,0.04834193847282853,-0.1432556931163005
あからばちめ,あからばちめ,2006,389601,231689536,594.6841409544637,0.05899026275372243,-0.09120787866629965
あからばちめ,あからばちめ,2007,435976,247895605,568.5992004147017,-0.04386352139456051,0.11903203533871842
あからばちめ,あからばちめ,2008,422124,254652856,603.2655238745014,0.06096794268179795,-0.031772391140796774
あからばちめ,あからばちめ,2009,347532,195479305,562.4785775122866,-0.0676102723395473,-0.1767063706399068
あからばちめ,あからばちめ,2010,340609,168324199,494.18599919555857,-0.12141365208746335,-0.01992046775548728
あからばちめ,あからばちめ,2011,324808,150231442,462.5238356198123,-0.06406932536997467,-0.046390435954422826
あからばちめ,あからばちめ,2012,303077,154743049,510.57338234178115,0.10388555793579646,-0.066904140292111
あからばちめ,あからばちめ,2013,257178,138782345,539.6353692773099,0.05692029381209385,-0.15144336257782676
あからばちめ,あからばちめ,2014,248823,157134385,631.5106923395346,0.17025445012113627,-0.032487226745678055
あからばちめ,あからばちめ,2015,241611,146408218,605.9666902583077,-0.040449041308540434,-0.028984458832181925
あからばちめ,あからばちめ,2016,270318,141094050,521.955807604377,-0.13863944009549278,0.11881495461713243
あからばちめ,あからばちめ,2017,216740,123353247,569.1300498292885,0.0903797630711829,-0.19820359724472658
あからばちめ,あからばちめ,2018,195608,112885250,577.099351764754,0.014002602635119876,-0.09749930792654793
あからばちめ,あからばちめ,2019,177975,109546036,615.5136170810507,0.06656438826144395,-0.09014457486401373
あからばちめ,あからばちめ,2020,142971,99515945,696.0568576844255,0.13085533507014002,-0.19667930889169827
あからばちめ,あからばちめ,2021,164579,96098744,583.9064765249516,-0.16112244268746223,0.1511355449706584
あからばちめ,あからばちめ,2022,99345,72007937,724.8269867632996,0.24134089259810798,-0.3963689170550313
あからばちめ,あからばちめ,2023,104758,85558921,816.729233089597,0.12679197657455465,0.05448688912376065
あからばちめ,あからばちめ,2024,70716,56210375,794.8749222241076,-0.026758330643825268,-0.32495847572500425
あさり,あさり,2000,943656,327745336,347.31441966140204,,
あさり,あさり,2001,1199338,424062190,353.5802167529087,0.018040705299869897,0.2709483116728977
あさり,あさり,2002,958037,369046613,385.2112319252806,0.08945923350252505,-0.20119515932956344
あさり,あさり,2003,844268,321238164,380.4931182989288,-0.012248120603261525,-0.11875219850590324
あさり,あさり,2004,844650,350026964,414.40474042502814,0.0891254545619855,0.00045246296199774605
あさり,あさり,2005,683775,296947163,434.27613323096045,0.04795165418607783,-0.19046350559403302
あさり,あさり,2006,675998,303382927,448.792639919053,0.03342690416830307,-0.011373624364739876
