year,category,qty,amt,price,share_amt,share_qty
2000,冷凍魚,30399100,18170464303,597.7303375099921,0.30171133645685216,0.3792575935076364
2000,塩干,9673267,9742880062,1007.1964375634416,0.16177557796140146,0.12068317692881807
2000,鮮魚,40081862,32311321093,806.13323535219,0.5365130855817464,0.5000592295635455
2001,冷凍魚,35450588,21152512340,596.6759236828456,0.2869662407457341,0.3634879768733201
2001,塩干,12923212,11510566857,890.6893160152445,0.15615847643588845,0.13250646744096353
2001,鮮魚,49155115,41047724851,835.0651778761986,0.5568752828183774,0.5040055556857164
2002,冷凍魚,32914090,20648003283,627.3302188515618,0.2900001483671871,0.3628075024647397
2002,塩干,12452660,11431951085,918.0328608506135,0.1605611673602341,0.13726396426705298
2002,鮮魚,45353783,39120020526,862.5525356065667,0.5494386842725788,0.4999285332682073
2003,冷凍魚,29153130,18046718976,619.0319521780337,0.2779868110188918,0.34071235901369556
2003,塩干,11251629,10068802444,894.8750837767581,0.15509712795489944,0.13149768341639162
2003,鮮魚,45160467,36803813817,814.956448900318,0.5669160610262088,0.5277899575699128
2004,冷凍魚,24036718,16742092904,696.521584352739,0.2712982807344038,0.30033298156007326
2004,塩干,11338225,10042003045,885.6768184614435,0.16272625990429446,0.14166838084338143
2004,鮮魚,44658618,34926921381,782.0869284624974,0.5659754593613017,0.5579986375965453
2005,冷凍魚,21321859,15780442276,740.1063048020344,0.26911640643473406,0.2887328889220629
2005,塩干,11748577,9964264278,848.1252051205861,0.16992850696837783,0.15909497281326657
2005,鮮魚,40775876,32893272769,806.6846379707453,0.5609550865968881,0.5521721382646706
2006,冷凍魚,18059642,14792671493,819.1010371634167,0.2601680142057472,0.2642496755341798
2006,塩干,11440618,9871568249,862.8527103168727,0.17361747738764818,0.16739975213298783
2006,鮮魚,38842840,32193908398,828.824782070518,0.5662145084066046,0.5683505723328325
2007,冷凍魚,16912801,13907841643,822.3263339407824,0.2546535122657441,0.2584109648700423
2007,塩干,10492681,9670234925,921.6171658130081,0.17706264935260846,0.16031784571246122
2007,鮮魚,38043757,31036688095,815.8155382760962,0.5682838383816474,0.5812711894174966
2008,冷凍魚,15830599,12794976561,808.2433621747351,0.24099070690376265,0.25114266381497
2008,塩干,10163965,9547820538,939.3795175406448,0.1798312024936646,0.1612450195360341
2008,鮮魚,37039724,30750439256,830.2016304441146,0.5791780906025727,0.5876123166489958
2009,冷凍魚,13233079,10631956459,803.4378438306006,0.22207215768156952,0.2208549885950684
2009,塩干,9801183,9122359129,930.7406186579722,0.1905408456792847,0.1635779669782957
2009,鮮魚,36883239,28121818773,762.4552380825339,0.5873869966391458,0.6155670444266359
2010,冷凍魚,13267911,10472836960,789.3357861685988,0.22905575382422078,0.22808769600966597
2010,塩干,9528485,8720831363,915.2379799097129,0.1907369139284177,0.1638034947711559
2010,鮮魚,35373822,26528112445,749.9362790088105,0.5802073322473615,0.6081088092191781
2011,冷凍魚,12635321,10907489062,863.2538153957465,0.2366831798293052,0.22722007162384547
2011,塩干,9194422,8777556325,954.6610243689054,0.19046546187880378,0.16534263161021873
2011,鮮魚,33778553,26399721050,781.5527518304292,0.572851358291891,0.6074372967659358
2012,冷凍魚,13823784,11664363840,843.789503655439,0.25569290634028885,0.24652726221455204
